y_pred,y_true,y_score,y_probscore
0,1,"[-1, 2]",2
1,0,"[-3, 4]",4
1,0,"[-5, 6]",6
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
0,1,"[1, 0]",0
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,1,"[-2, 3]",3
1,0,"[-4, 5]",5
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
0,1,"[-2, 3]",3
0,0,"[-1, 2]",2
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
0,1,"[-2, 3]",3
1,0,"[-4, 5]",5
0,1,"[-2, 3]",3
0,1,"[-1, 2]",2
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
1,0,"[-6, 7]",7
1,0,"[-3, 4]",4
1,0,"[-4, 5]",5
0,1,"[-2, 3]",3
1,0,"[-3, 4]",4
0,1,"[-2, 3]",3
0,1,"[-2, 3]",3
0,1,"[-2, 3]",3
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
1,1,"[-3, 4]",4
0,0,"[-1, 2]",2
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
0,1,"[-1, 2]",2
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
1,0,"[-4, 5]",5
1,0,"[-3, 4]",4
0,1,"[-2, 3]",3
1,0,"[-5, 6]",6
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
1,1,"[-3, 4]",4
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,1,"[-1, 2]",2
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
1,1,"[-5, 6]",6
0,0,"[1, 0]",0
1,0,"[-3, 4]",4
1,1,"[-4, 5]",5
0,1,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,1,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
1,1,"[-4, 5]",5
0,1,"[-1, 2]",2
0,0,"[-2, 3]",3
0,1,"[-1, 2]",2
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
0,1,"[-2, 3]",3
0,1,"[0, 1]",1
0,0,"[-1, 2]",2
0,1,"[-2, 3]",3
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
1,1,"[-4, 5]",5
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
0,0,"[-1, 2]",2
1,1,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
0,0,"[-1, 2]",2
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
1,0,"[-4, 5]",5
0,0,"[-1, 2]",2
0,0,"[0, 1]",1
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
0,1,"[-2, 3]",3
1,0,"[-5, 6]",6
1,1,"[-5, 6]",6
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[0, 1]",1
1,1,"[-3, 4]",4
1,1,"[-3, 4]",4
1,1,"[-3, 4]",4
0,0,"[-2, 3]",3
1,1,"[-5, 6]",6
1,0,"[-4, 5]",5
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
0,1,"[-2, 3]",3
0,0,"[0, 1]",1
1,1,"[-5, 6]",6
0,1,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
1,1,"[-4, 5]",5
0,1,"[-1, 2]",2
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,1,"[-2, 3]",3
0,1,"[-1, 2]",2
0,1,"[0, 1]",1
1,1,"[-7, 8]",8
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,1,"[-1, 2]",2
0,0,"[-1, 2]",2
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
1,0,"[-5, 6]",6
1,0,"[-3, 4]",4
0,1,"[-1, 2]",2
0,0,"[0, 1]",1
1,1,"[-3, 4]",4
0,0,"[-1, 2]",2
0,1,"[0, 1]",1
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[0, 1]",1
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
1,0,"[-6, 7]",7
1,1,"[-5, 6]",6
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
1,0,"[-4, 5]",5
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
0,1,"[-2, 3]",3
0,0,"[-1, 2]",2
0,1,"[-2, 3]",3
1,0,"[-4, 5]",5
1,0,"[-3, 4]",4
1,0,"[-4, 5]",5
1,0,"[-4, 5]",5
0,0,"[-1, 2]",2
0,1,"[-2, 3]",3
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
1,0,"[-5, 6]",6
1,0,"[-4, 5]",5
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
1,1,"[-3, 4]",4
1,0,"[-5, 6]",6
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
1,1,"[-4, 5]",5
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[0, 1]",1
0,0,"[0, 1]",1
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
1,1,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
0,1,"[-1, 2]",2
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
0,1,"[-1, 2]",2
0,0,"[-1, 2]",2
0,1,"[-1, 2]",2
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,1,"[-2, 3]",3
1,0,"[-4, 5]",5
1,1,"[-5, 6]",6
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
1,0,"[-4, 5]",5
1,1,"[-7, 8]",8
0,0,"[-1, 2]",2
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,1,"[-1, 2]",2
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
1,1,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
1,1,"[-3, 4]",4
1,1,"[-3, 4]",4
1,0,"[-5, 6]",6
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
1,0,"[-5, 6]",6
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
1,0,"[-4, 5]",5
1,0,"[-3, 4]",4
1,1,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[-1, 2]",2
0,0,"[-1, 2]",2
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
0,0,"[0, 1]",1
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,1,"[-2, 3]",3
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
1,1,"[-4, 5]",5
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
1,0,"[-4, 5]",5
0,1,"[-1, 2]",2
0,0,"[0, 1]",1
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
1,0,"[-4, 5]",5
0,1,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
1,0,"[-4, 5]",5
1,0,"[-3, 4]",4
0,1,"[-1, 2]",2
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
1,1,"[-4, 5]",5
1,1,"[-5, 6]",6
1,1,"[-3, 4]",4
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
1,0,"[-5, 6]",6
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
0,1,"[0, 1]",1
1,0,"[-3, 4]",4
1,0,"[-4, 5]",5
0,0,"[0, 1]",1
1,0,"[-4, 5]",5
1,0,"[-3, 4]",4
1,1,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[-1, 2]",2
1,0,"[-4, 5]",5
0,0,"[-1, 2]",2
0,0,"[-1, 2]",2
0,1,"[-2, 3]",3
1,0,"[-4, 5]",5
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,1,"[-1, 2]",2
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
1,0,"[-4, 5]",5
0,0,"[-2, 3]",3
1,0,"[-4, 5]",5
0,0,"[0, 1]",1
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
1,0,"[-4, 5]",5
1,0,"[-4, 5]",5
0,0,"[0, 1]",1
1,0,"[-3, 4]",4
0,0,"[-1, 2]",2
1,0,"[-3, 4]",4
0,1,"[-2, 3]",3
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
1,0,"[-5, 6]",6
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
0,0,"[0, 1]",1
0,1,"[-1, 2]",2
1,1,"[-4, 5]",5
0,0,"[-1, 2]",2
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
0,1,"[-1, 2]",2
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
1,0,"[-4, 5]",5
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
0,1,"[-2, 3]",3
0,0,"[-2, 3]",3
0,1,"[-2, 3]",3
1,0,"[-3, 4]",4
1,1,"[-5, 6]",6
1,1,"[-3, 4]",4
0,0,"[0, 1]",1
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
0,1,"[-2, 3]",3
0,0,"[0, 1]",1
1,0,"[-6, 7]",7
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
0,0,"[0, 1]",1
0,1,"[1, 0]",0
0,0,"[-1, 2]",2
1,0,"[-5, 6]",6
0,0,"[-1, 2]",2
0,1,"[0, 1]",1
1,1,"[-3, 4]",4
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
0,1,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[-1, 2]",2
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
1,0,"[-4, 5]",5
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
1,0,"[-3, 4]",4
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
1,0,"[-4, 5]",5
1,1,"[-4, 5]",5
1,1,"[-3, 4]",4
0,0,"[-2, 3]",3
1,0,"[-3, 4]",4
0,1,"[0, 1]",1
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
0,0,"[0, 1]",1
1,1,"[-6, 7]",7
1,0,"[-4, 5]",5
1,0,"[-5, 6]",6
